trial: 0
RL-Glue Python Experiment Codec Version: 2.02 (Build 738)
	Connecting to 127.0.0.1 on port 4096...
Experiment 0	 Episode 87	 82 steps 	180.0 total reward	 1 natural end
Experiment 0	 Episode 88	 70 steps 	150.0 total reward	 1 natural end
Experiment 0	 Episode 89	 109 steps 	210.0 total reward	 1 natural end
Experiment 0	 Episode 90	 93 steps 	410.0 total reward	 1 natural end
Experiment 0	 Episode 91	 103 steps 	300.0 total reward	 1 natural end
Experiment 0	 Episode 92	 66 steps 	105.0 total reward	 1 natural end
Experiment 0	 Episode 93	 82 steps 	180.0 total reward	 1 natural end
Experiment 0	 Episode 94	 51 steps 	105.0 total reward	 1 natural end
Experiment 0	 Episode 95	 82 steps 	210.0 total reward	 1 natural end
Experiment 0	 Episode 96	 82 steps 	180.0 total reward	 1 natural end
Experiment 0	 Episode 97	 41 steps 	75.0 total reward	 1 natural end
Experiment 0	 Episode 98	 84 steps 	210.0 total reward	 1 natural end
Experiment 0	 Episode 99	 82 steps 	180.0 total reward	 1 natural end
Experiment 0	 Episode 100	 82 steps 	180.0 total reward	 1 natural end
Experiment 0	 Episode 101	 82 steps 	180.0 total reward	 1 natural end
Experiment 0	 Episode 102	 82 steps 	180.0 total reward	 1 natural end
Experiment 0	 Episode 103	 81 steps 	180.0 total reward	 1 natural end
Experiment 0	 Episode 104	 82 steps 	180.0 total reward	 1 natural end
Experiment 0	 Episode 105	 82 steps 	155.0 total reward	 1 natural end
Experiment 0	 Episode 106	 85 steps 	210.0 total reward	 1 natural end
Experiment 0	 Episode 107	 66 steps 	105.0 total reward	 1 natural end
Experiment 0	 Episode 108	 70 steps 	150.0 total reward	 1 natural end
Experiment 0	 Episode 109	 82 steps 	180.0 total reward	 1 natural end
Experiment 0	 Episode 110	 83 steps 	210.0 total reward	 1 natural end
Experiment 0	 Episode 111	 51 steps 	105.0 total reward	 1 natural end
Experiment 0	 Episode 112	 66 steps 	180.0 total reward	 1 natural end
Experiment 0	 Episode 113	 82 steps 	180.0 total reward	 1 natural end
Experiment 0	 Episode 114	 82 steps 	155.0 total reward	 1 natural end
Experiment 0	 Episode 115	 83 steps 	210.0 total reward	 1 natural end
Experiment 0	 Episode 116	 81 steps 	210.0 total reward	 1 natural end
Experiment 0	 Episode 117	 82 steps 	180.0 total reward	 1 natural end
Experiment 0	 Episode 118	 51 steps 	75.0 total reward	 1 natural end
Experiment 0	 Episode 119	 82 steps 	155.0 total reward	 1 natural end
Experiment 0	 Episode 120	 68 steps 	120.0 total reward	 1 natural end
Experiment 0	 Episode 121	 52 steps 	180.0 total reward	 1 natural end
Experiment 0	 Episode 122	 51 steps 	105.0 total reward	 1 natural end
Experiment 0	 Episode 123	 51 steps 	105.0 total reward	 1 natural end
Experiment 0	 Episode 124	 82 steps 	210.0 total reward	 1 natural end
Experiment 0	 Episode 125	 69 steps 	120.0 total reward	 1 natural end
Experiment 0	 Episode 126	 65 steps 	155.0 total reward	 1 natural end
Experiment 0	 Episode 127	 80 steps 	180.0 total reward	 1 natural end
Experiment 0	 Episode 128	 82 steps 	210.0 total reward	 1 natural end
Experiment 0	 Episode 129	 67 steps 	120.0 total reward	 1 natural end
Experiment 0	 Episode 130	 109 steps 	210.0 total reward	 1 natural end
Experiment 0	 Episode 131	 51 steps 	105.0 total reward	 1 natural end
Experiment 0	 Episode 132	 67 steps 	135.0 total reward	 1 natural end
Experiment 0	 Episode 133	 83 steps 	155.0 total reward	 1 natural end
Experiment 0	 Episode 134	 69 steps 	110.0 total reward	 1 natural end
Experiment 0	 Episode 135	 49 steps 	125.0 total reward	 1 natural end
Experiment 0	 Episode 136	 69 steps 	240.0 total reward	 1 natural end
Experiment 0	 Episode 137	 109 steps 	210.0 total reward	 1 natural end
Experiment 0	 Episode 138	 152 steps 	560.0 total reward	 1 natural end
Experiment 0	 Episode 139	 62 steps 	180.0 total reward	 1 natural end
Experiment 0	 Episode 140	 82 steps 	180.0 total reward	 1 natural end
Experiment 0	 Episode 141	 65 steps 	135.0 total reward	 1 natural end
Experiment 0	 Episode 142	 111 steps 	285.0 total reward	 1 natural end
Experiment 0	 Episode 143	 83 steps 	180.0 total reward	 1 natural end
Experiment 0	 Episode 144	 52 steps 	180.0 total reward	 1 natural end
Experiment 0	 Episode 145	 83 steps 	160.0 total reward	 1 natural end
Experiment 0	 Episode 146	 51 steps 	105.0 total reward	 1 natural end
Experiment 0	 Episode 147	 51 steps 	105.0 total reward	 1 natural end
Experiment 0	 Episode 148	 95 steps 	210.0 total reward	 1 natural end
Experiment 0	 Episode 149	 65 steps 	120.0 total reward	 1 natural end
Experiment 0	 Episode 150	 82 steps 	210.0 total reward	 1 natural end
Experiment 0	 Episode 151	 41 steps 	80.0 total reward	 1 natural end
Experiment 0	 Episode 152	 82 steps 	180.0 total reward	 1 natural end
Experiment 0	 Episode 153	 51 steps 	105.0 total reward	 1 natural end
Experiment 0	 Episode 154	 72 steps 	240.0 total reward	 1 natural end
Experiment 0	 Episode 155	 65 steps 	120.0 total reward	 1 natural end
Experiment 0	 Episode 156	 82 steps 	210.0 total reward	 1 natural end
Experiment 0	 Episode 157	 72 steps 	150.0 total reward	 1 natural end
Experiment 0	 Episode 158	 82 steps 	180.0 total reward	 1 natural end
Experiment 0	 Episode 159	 84 steps 	210.0 total reward	 1 natural end
Experiment 0	 Episode 160	 51 steps 	105.0 total reward	 1 natural end
Experiment 0	 Episode 161	 83 steps 	380.0 total reward	 1 natural end
Experiment 0	 Episode 162	 82 steps 	155.0 total reward	 1 natural end
Experiment 0	 Episode 163	 39 steps 	80.0 total reward	 1 natural end
Experiment 0	 Episode 164	 68 steps 	105.0 total reward	 1 natural end
Experiment 0	 Episode 165	 85 steps 	410.0 total reward	 1 natural end
Experiment 0	 Episode 166	 66 steps 	105.0 total reward	 1 natural end
Experiment 0	 Episode 167	 65 steps 	120.0 total reward	 1 natural end
Experiment 0	 Episode 168	 70 steps 	150.0 total reward	 1 natural end
Experiment 0	 Episode 169	 82 steps 	155.0 total reward	 1 natural end
Experiment 0	 Episode 170	 51 steps 	135.0 total reward	 1 natural end
Experiment 0	 Episode 171	 88 steps 	180.0 total reward	 1 natural end
Experiment 0	 Episode 172	 90 steps 	285.0 total reward	 1 natural end
Experiment 0	 Episode 173	 61 steps 	90.0 total reward	 1 natural end
Experiment 0	 Episode 174	 87 steps 	210.0 total reward	 1 natural end
Experiment 0	 Episode 175	 86 steps 	180.0 total reward	 1 natural end
Experiment 0	 Episode 176	 148 steps 	285.0 total reward	 1 natural end
Experiment 0	 Episode 177	 51 steps 	105.0 total reward	 1 natural end
Experiment 0	 Episode 178	 67 steps 	210.0 total reward	 1 natural end
Experiment 0	 Episode 179	 65 steps 	120.0 total reward	 1 natural end
Experiment 0	 Episode 180	 109 steps 	255.0 total reward	 1 natural end
Experiment 0	 Episode 181	 51 steps 	105.0 total reward	 1 natural end
Experiment 0	 Episode 182	 51 steps 	105.0 total reward	 1 natural end
Experiment 0	 Episode 183	 83 steps 	210.0 total reward	 1 natural end
Experiment 0	 Episode 184	 70 steps 	180.0 total reward	 1 natural end
Experiment 0	 Episode 185	 81 steps 	180.0 total reward	 1 natural end
Experiment 0	 Episode 186	 65 steps 	210.0 total reward	 1 natural end
Experiment 0	 Episode 187	 56 steps 	120.0 total reward	 1 natural end
Experiment 0	 Episode 188	 41 steps 	75.0 total reward	 1 natural end
Experiment 0	 Episode 189	 85 steps 	260.0 total reward	 1 natural end
Experiment 0	 Episode 190	 87 steps 	410.0 total reward	 1 natural end
Experiment 0	 Episode 191	 111 steps 	285.0 total reward	 1 natural end
Experiment 0	 Episode 192	 51 steps 	75.0 total reward	 1 natural end
Experiment 0	 Episode 193	 82 steps 	240.0 total reward	 1 natural end
Experiment 0	 Episode 194	 51 steps 	105.0 total reward	 1 natural end
Experiment 0	 Episode 195	 86 steps 	410.0 total reward	 1 natural end
Experiment 0	 Episode 196	 71 steps 	155.0 total reward	 1 natural end
Experiment 0	 Episode 197	 51 steps 	105.0 total reward	 1 natural end
Experiment 0	 Episode 198	 51 steps 	105.0 total reward	 1 natural end
Experiment 0	 Episode 199	 49 steps 	125.0 total reward	 1 natural end
Experiment 0	 Episode 200	 49 steps 	125.0 total reward	 1 natural end
Experiment 0	 Episode 201	 83 steps 	210.0 total reward	 1 natural end
Experiment 0	 Episode 202	 65 steps 	180.0 total reward	 1 natural end
Experiment 0	 Episode 203	 51 steps 	105.0 total reward	 1 natural end
Experiment 0	 Episode 204	 53 steps 	105.0 total reward	 1 natural end
Experiment 0	 Episode 205	 85 steps 	210.0 total reward	 1 natural end
Experiment 0	 Episode 206	 85 steps 	210.0 total reward	 1 natural end
Experiment 0	 Episode 207	 52 steps 	155.0 total reward	 1 natural end
Experiment 0	 Episode 208	 98 steps 	485.0 total reward	 1 natural end
Experiment 0	 Episode 209	 81 steps 	380.0 total reward	 1 natural end
Experiment 0	 Episode 210	 65 steps 	180.0 total reward	 1 natural end
Experiment 0	 Episode 211	 51 steps 	105.0 total reward	 1 natural end
Experiment 0	 Episode 212	 138 steps 	340.0 total reward	 1 natural end
Experiment 0	 Episode 213	 51 steps 	105.0 total reward	 1 natural end
Experiment 0	 Episode 214	 70 steps 	180.0 total reward	 1 natural end
Experiment 0	 Episode 215	 84 steps 	165.0 total reward	 1 natural end
Experiment 0	 Episode 216	 84 steps 	210.0 total reward	 1 natural end
Experiment 0	 Episode 217	 51 steps 	75.0 total reward	 1 natural end
Experiment 0	 Episode 218	 157 steps 	485.0 total reward	 1 natural end
Experiment 0	 Episode 219	 39 steps 	80.0 total reward	 1 natural end
Experiment 0	 Episode 220	 49 steps 	125.0 total reward	 1 natural end
Experiment 0	 Episode 221	 83 steps 	260.0 total reward	 1 natural end
Experiment 0	 Episode 222	 51 steps 	105.0 total reward	 1 natural end
Experiment 0	 Episode 223	 65 steps 	210.0 total reward	 1 natural end
Experiment 0	 Episode 224	 51 steps 	75.0 total reward	 1 natural end
Experiment 0	 Episode 225	 82 steps 	180.0 total reward	 1 natural end
Experiment 0	 Episode 226	 82 steps 	185.0 total reward	 1 natural end
Experiment 0	 Episode 227	 52 steps 	155.0 total reward	 1 natural end
Experiment 0	 Episode 228	 83 steps 	240.0 total reward	 1 natural end
Experiment 0	 Episode 229	 140 steps 	660.0 total reward	 1 natural end
Experiment 0	 Episode 230	 89 steps 	235.0 total reward	 1 natural end
Experiment 0	 Episode 231	 82 steps 	155.0 total reward	 1 natural end
Experiment 0	 Episode 232	 65 steps 	120.0 total reward	 1 natural end
Experiment 0	 Episode 233	 102 steps 	385.0 total reward	 1 natural end
Experiment 0	 Episode 234	 51 steps 	105.0 total reward	 1 natural end
Experiment 0	 Episode 235	 52 steps 	180.0 total reward	 1 natural end
Experiment 0	 Episode 236	 51 steps 	105.0 total reward	 1 natural end
Experiment 0	 Episode 237	 51 steps 	105.0 total reward	 1 natural end
Experiment 0	 Episode 238	 48 steps 	105.0 total reward	 1 natural end
Experiment 0	 Episode 239	 82 steps 	180.0 total reward	 1 natural end
Experiment 0	 Episode 240	 71 steps 	155.0 total reward	 1 natural end
Experiment 0	 Episode 241	 102 steps 	260.0 total reward	 1 natural end
Experiment 0	 Episode 242	 49 steps 	120.0 total reward	 1 natural end
Experiment 0	 Episode 243	 85 steps 	210.0 total reward	 1 natural end
Experiment 0	 Episode 244	 98 steps 	240.0 total reward	 1 natural end
Experiment 0	 Episode 245	 84 steps 	210.0 total reward	 1 natural end
Experiment 0	 Episode 246	 51 steps 	105.0 total reward	 1 natural end
Experiment 0	 Episode 247	 83 steps 	210.0 total reward	 1 natural end
Experiment 0	 Episode 248	 83 steps 	180.0 total reward	 1 natural end
Experiment 0	 Episode 249	 51 steps 	105.0 total reward	 1 natural end
Experiment 0	 Episode 250	 65 steps 	135.0 total reward	 1 natural end
Experiment 0	 Episode 251	 51 steps 	105.0 total reward	 1 natural end
Experiment 0	 Episode 252	 51 steps 	105.0 total reward	 1 natural end
Experiment 0	 Episode 253	 51 steps 	105.0 total reward	 1 natural end
Experiment 0	 Episode 254	 82 steps 	185.0 total reward	 1 natural end
Experiment 0	 Episode 255	 51 steps 	105.0 total reward	 1 natural end
Experiment 0	 Episode 256	 52 steps 	180.0 total reward	 1 natural end
Experiment 0	 Episode 257	 53 steps 	55.0 total reward	 1 natural end
Experiment 0	 Episode 258	 48 steps 	125.0 total reward	 1 natural end
Experiment 0	 Episode 259	 63 steps 	200.0 total reward	 1 natural end
Experiment 0	 Episode 260	 56 steps 	150.0 total reward	 1 natural end
Experiment 0	 Episode 261	 57 steps 	205.0 total reward	 1 natural end
Experiment 0	 Episode 262	 65 steps 	135.0 total reward	 1 natural end
Experiment 0	 Episode 263	 84 steps 	180.0 total reward	 1 natural end
Experiment 0	 Episode 264	 49 steps 	125.0 total reward	 1 natural end
Experiment 0	 Episode 265	 92 steps 	485.0 total reward	 1 natural end
Experiment 0	 Episode 266	 101 steps 	240.0 total reward	 1 natural end
Experiment 0	 Episode 267	 51 steps 	105.0 total reward	 1 natural end
Experiment 0	 Episode 268	 51 steps 	105.0 total reward	 1 natural end
Experiment 0	 Episode 269	 51 steps 	105.0 total reward	 1 natural end
Experiment 0	 Episode 270	 68 steps 	260.0 total reward	 1 natural end
Experiment 0	 Episode 271	 82 steps 	180.0 total reward	 1 natural end
Experiment 0	 Episode 272	 81 steps 	180.0 total reward	 1 natural end
Experiment 0	 Episode 273	 83 steps 	210.0 total reward	 1 natural end
Experiment 0	 Episode 274	 51 steps 	105.0 total reward	 1 natural end
Experiment 0	 Episode 275	 52 steps 	155.0 total reward	 1 natural end
Experiment 0	 Episode 276	 83 steps 	210.0 total reward	 1 natural end
Experiment 0	 Episode 277	 51 steps 	105.0 total reward	 1 natural end
Experiment 0	 Episode 278	 82 steps 	180.0 total reward	 1 natural end
Experiment 0	 Episode 279	 51 steps 	105.0 total reward	 1 natural end
Experiment 0	 Episode 280	 70 steps 	230.0 total reward	 1 natural end
Experiment 0	 Episode 281	 51 steps 	105.0 total reward	 1 natural end
Experiment 0	 Episode 282	 49 steps 	125.0 total reward	 1 natural end
Experiment 0	 Episode 283	 67 steps 	120.0 total reward	 1 natural end
Experiment 0	 Episode 284	 49 steps 	125.0 total reward	 1 natural end
Experiment 0	 Episode 285	 49 steps 	125.0 total reward	 1 natural end
Experiment 0	 Episode 286	 54 steps 	125.0 total reward	 1 natural end
Experiment 0	 Episode 287	 85 steps 	240.0 total reward	 1 natural end
Experiment 0	 Episode 288	 58 steps 	180.0 total reward	 1 natural end
Experiment 0	 Episode 289	 73 steps 	230.0 total reward	 1 natural end
Experiment 0	 Episode 290	 79 steps 	180.0 total reward	 1 natural end
Experiment 0	 Episode 291	 85 steps 	505.0 total reward	 1 natural end
Experiment 0	 Episode 292	 69 steps 	110.0 total reward	 1 natural end
Experiment 0	 Episode 293	 65 steps 	110.0 total reward	 1 natural end
Experiment 0	 Episode 294	 69 steps 	155.0 total reward	 1 natural end
Experiment 0	 Episode 295	 51 steps 	105.0 total reward	 1 natural end
Experiment 0	 Episode 296	 69 steps 	230.0 total reward	 1 natural end
Experiment 0	 Episode 297	 51 steps 	105.0 total reward	 1 natural end
Experiment 0	 Episode 298	 54 steps 	105.0 total reward	 1 natural end
Experiment 0	 Episode 299	 49 steps 	125.0 total reward	 1 natural end
Experiment 0	 Episode 300	 51 steps 	105.0 total reward	 1 natural end
Experiment 0	 Episode 301	 56 steps 	125.0 total reward	 1 natural end
Experiment 0	 Episode 302	 52 steps 	155.0 total reward	 1 natural end
Experiment 0	 Episode 303	 69 steps 	260.0 total reward	 1 natural end
Experiment 0	 Episode 304	 51 steps 	75.0 total reward	 1 natural end
Experiment 0	 Episode 305	 84 steps 	210.0 total reward	 1 natural end
Experiment 0	 Episode 306	 110 steps 	500.0 total reward	 1 natural end
Experiment 0	 Episode 307	 83 steps 	210.0 total reward	 1 natural end
Experiment 0	 Episode 308	 66 steps 	105.0 total reward	 1 natural end
Experiment 0	 Episode 309	 84 steps 	210.0 total reward	 1 natural end
Experiment 0	 Episode 310	 86 steps 	180.0 total reward	 1 natural end
Experiment 0	 Episode 311	 67 steps 	210.0 total reward	 1 natural end
